Product,Category,Price,Discount,Promotion,Rating,Reviews,Source
,watches,"₹2,995",63% off,No promotion,4.0 out of 5 stars,"3,531",Amazon
,watches,"₹4,999",37% off,No promotion,3.8 out of 5 stars,552,Amazon
,watches,"₹3,420",12% off,No promotion,3.8 out of 5 stars,554,Amazon
,watches,"₹5,780",16% off,No promotion,4.3 out of 5 stars,455,Amazon
,watches,"₹1,695",,No promotion,4.4 out of 5 stars,"50,771",Amazon
,watches,"₹1,295",,No promotion,4.5 out of 5 stars,"12,063",Amazon
,watches,₹298,88% off,No promotion,3.7 out of 5 stars,"1,235",Amazon
,watches,₹298,85% off,No promotion,4.0 out of 5 stars,"3,360",Amazon
,watches,₹499,75% off,No promotion,4.2 out of 5 stars,213,Amazon
,watches,₹950,,No promotion,4.2 out of 5 stars,"1,762",Amazon
,watches,₹499,75% off,No promotion,4.6 out of 5 stars,6,Amazon
,watches,"₹1,399",72% off,No promotion,4.0 out of 5 stars,"16,170",Amazon
,watches,₹378,81% off,No promotion,4.0 out of 5 stars,181,Amazon
,watches,"₹1,699",66% off,No promotion,4.0 out of 5 stars,"28,901",Amazon
,watches,₹899,53% off,No promotion,4.1 out of 5 stars,96,Amazon
,watches,"₹1,799",70% off,No promotion,4.0 out of 5 stars,"28,901",Amazon
,watches,"₹1,199",94% off,No promotion,3.9 out of 5 stars,"92,823",Amazon
,watches,"₹2,999",70% off,No promotion,4.2 out of 5 stars,"1,319",Amazon
,watches,"₹1,042.25",45% off,No promotion,4.1 out of 5 stars,"23,208",Amazon
,watches,"₹2,699",50% off,No promotion,4.3 out of 5 stars,149,Amazon
,watches,"₹3,417",12% off,No promotion,3.6 out of 5 stars,"2,170",Amazon
,watches,"₹3,420",12% off,No promotion,3.8 out of 5 stars,803,Amazon
,watches,"₹3,228",17% off,No promotion,3.8 out of 5 stars,"1,522",Amazon
,watches,"₹3,229",17% off,No promotion,3.8 out of 5 stars,"3,618",Amazon
,watches,₹380,81% off,No promotion,3.8 out of 5 stars,865,Amazon
,watches,₹850,15% off,No promotion,4.1 out of 5 stars,"14,659",Amazon
,watches,"₹2,995",,No promotion,4.4 out of 5 stars,"14,784",Amazon
,watches,"₹65,051",23% off,No promotion,,,Amazon
,watches,"₹1,499",82% off,No promotion,3.9 out of 5 stars,"24,063",Amazon
,watches,₹675,,No promotion,4.0 out of 5 stars,"12,035",Amazon
,watches,"₹1,599",47% off,No promotion,3.9 out of 5 stars,"15,762",Amazon
,watches,"₹22,995",,No promotion,4.3 out of 5 stars,546,Amazon
,watches,"₹1,799",74% off,No promotion,4.2 out of 5 stars,"1,569",Amazon
,watches,"₹1,299",91% off,No promotion,3.9 out of 5 stars,"92,823",Amazon
,watches,"₹3,109",18% off,No promotion,4.2 out of 5 stars,"1,285",Amazon
,watches,"₹3,990",33% off,No promotion,4.0 out of 5 stars,"1,256",Amazon
