Product,Category,Price,Discount,Promotion,Rating,Reviews,Source
,shirt,"₹1,399",46% off,No promotion,3.9 out of 5 stars,455,Amazon
,shirt,₹649,54% off,No promotion,3.8 out of 5 stars,"7,678",Amazon
,shirt,"₹1,934",41% off,No promotion,4.7 out of 5 stars,4,Amazon
,shirt,₹599,67% off,No promotion,3.8 out of 5 stars,"13,829",Amazon
,shirt,₹499,77% off,No promotion,3.8 out of 5 stars,"1,965",Amazon
,shirt,₹389,76% off,No promotion,4.0 out of 5 stars,"1,524",Amazon
,shirt,₹495,73% off,No promotion,3.7 out of 5 stars,"2,808",Amazon
,shirt,₹449,85% off,No promotion,3.7 out of 5 stars,360,Amazon
,shirt,₹579,61% off,No promotion,4.0 out of 5 stars,843,Amazon
,shirt,₹503.10,71% off,No promotion,4.0 out of 5 stars,667,Amazon
,shirt,"₹1,659",15% off,No promotion,,,Amazon
,shirt,₹494,78% off,No promotion,3.2 out of 5 stars,416,Amazon
,shirt,₹499,71% off,No promotion,4.1 out of 5 stars,598,Amazon
,shirt,₹503.10,69% off,No promotion,3.7 out of 5 stars,"1,808",Amazon
,shirt,₹399,80% off,No promotion,3.7 out of 5 stars,732,Amazon
,shirt,₹379,81% off,No promotion,3.7 out of 5 stars,"3,186",Amazon
,shirt,₹499,78% off,No promotion,4.0 out of 5 stars,"2,745",Amazon
,shirt,₹909,43% off,No promotion,3.7 out of 5 stars,"17,026",Amazon
,shirt,₹489,67% off,No promotion,4.1 out of 5 stars,"1,118",Amazon
,shirt,"₹1,308.95",50% off,No promotion,4.2 out of 5 stars,22,Amazon
,shirt,₹549,63% off,No promotion,4.1 out of 5 stars,318,Amazon
,shirt,₹379,81% off,No promotion,3.7 out of 5 stars,543,Amazon
,shirt,₹399,60% off,No promotion,4.4 out of 5 stars,50,Amazon
,shirt,₹494,71% off,No promotion,4.4 out of 5 stars,6,Amazon
,shirt,"₹1,049",48% off,No promotion,3.9 out of 5 stars,"2,120",Amazon
,shirt,₹632,75% off,No promotion,3.3 out of 5 stars,333,Amazon
,shirt,₹399,80% off,No promotion,4.1 out of 5 stars,560,Amazon
,shirt,₹418,74% off,No promotion,3.6 out of 5 stars,"1,144",Amazon
,shirt,₹499,75% off,No promotion,3.4 out of 5 stars,75,Amazon
,shirt,₹809.10,Men's Everyday Ditsy Print Slim Fit Full Sleeve Casual Shirt | 100% Cotton,No promotion,4.0 out of 5 stars,472,Amazon
,shirt,₹799,Men's Solid Slim Fit Full Sleeve Casual Shirt| 100% Cotton,No promotion,4.0 out of 5 stars,245,Amazon
,shirt,₹789,44% off,No promotion,4.0 out of 5 stars,900,Amazon
,shirt,₹499,67% off,No promotion,3.9 out of 5 stars,883,Amazon
,shirt,"₹1,339",42% off,No promotion,3.3 out of 5 stars,9,Amazon
,shirt,₹449,89% off,No promotion,3.6 out of 5 stars,"2,581",Amazon
,shirt,₹725,34% off,No promotion,4.0 out of 5 stars,"77,018",Amazon
,shirt,₹419,68% off,No promotion,3.5 out of 5 stars,268,Amazon
,shirt,₹499,67% off,No promotion,3.7 out of 5 stars,156,Amazon
,shirt,"₹1,009",Men's Slim Fit Full Sleeve Checkered Casual Shirt | 100% Cotton | Premium Twill Weave,No promotion,4.1 out of 5 stars,532,Amazon
,shirt,₹704,53% off,No promotion,3.8 out of 5 stars,436,Amazon
,shirt,₹449,89% off,No promotion,3.8 out of 5 stars,402,Amazon
,shirt,₹989,45% off,No promotion,4.0 out of 5 stars,23,Amazon
,shirt,₹405,80% off,No promotion,3.8 out of 5 stars,"2,260",Amazon
,shirt,₹418,74% off,No promotion,3.8 out of 5 stars,376,Amazon
,shirt,₹647,76% off,No promotion,3.7 out of 5 stars,"2,511",Amazon
,shirt,₹989,45% off,No promotion,4.0 out of 5 stars,15,Amazon
,shirt,₹499,67% off,No promotion,3.9 out of 5 stars,"2,980",Amazon
,shirt,₹749,38% off,No promotion,4.1 out of 5 stars,"5,750",Amazon
,shirt,"₹1,389",44% off,No promotion,3.7 out of 5 stars,45,Amazon
,shirt,"₹1,299",48% off,No promotion,3.9 out of 5 stars,71,Amazon
,shirt,₹449,70% off,No promotion,4.1 out of 5 stars,244,Amazon
,shirt,₹671,52% off,No promotion,4.1 out of 5 stars,598,Amazon
,shirt,₹639,36% off,No promotion,4.0 out of 5 stars,"1,724",Amazon
,shirt,₹499,50% off,No promotion,3.8 out of 5 stars,727,Amazon
,shirt,"₹1,049",48% off,No promotion,4.0 out of 5 stars,859,Amazon
,shirt,"₹1,039",48% off,No promotion,3.8 out of 5 stars,374,Amazon
,shirt,₹359,74% off,No promotion,3.9 out of 5 stars,"1,412",Amazon
,shirt,₹899,Cargo Shirt for Men with Double Pocket | 100% Cotton | Full Sleeve | Regular Fit,No promotion,4.9 out of 5 stars,37,Amazon
,shirt,₹495,73% off,No promotion,3.4 out of 5 stars,3,Amazon
,shirt,₹399,80% off,No promotion,3.7 out of 5 stars,732,Amazon
,shirt,₹539,61% off,No promotion,3.9 out of 5 stars,"6,969",Amazon
,shirt,"₹1,619",35% off,No promotion,5.0 out of 5 stars,2,Amazon
,shirt,₹649,68% off,No promotion,5.0 out of 5 stars,1,Amazon
,shirt,₹549,61% off,No promotion,3.8 out of 5 stars,"7,678",Amazon
,shirt,₹399,80% off,No promotion,3.7 out of 5 stars,"1,130",Amazon
,shirt,"₹1,079.10",Men 100% Cotton Slim Fit Checkered Casual Everyday Full Sleeve Shirt |,No promotion,4.0 out of 5 stars,167,Amazon
,shirt,₹503.10,71% off,No promotion,3.8 out of 5 stars,615,Amazon
,shirt,₹959,44% off,No promotion,3.8 out of 5 stars,55,Amazon
,shirt,₹557.10,38% off,No promotion,3.8 out of 5 stars,"2,111",Amazon
,shirt,₹699,36% off,No promotion,4.0 out of 5 stars,"41,678",Amazon
,shirt,₹548.10,78% off,No promotion,3.8 out of 5 stars,"5,112",Amazon
,shirt,₹359,74% off,No promotion,3.9 out of 5 stars,"1,412",Amazon
,shirt,₹799,78% off,No promotion,3.6 out of 5 stars,10,Amazon
,shirt,₹449,55% off,No promotion,3.8 out of 5 stars,238,Amazon
,shirt,"₹1,169.10",10% off,No promotion,4.3 out of 5 stars,26,Amazon
