Product_Name,Product_ASIN,Brand,Price,MRP,Discount,Rating,Reviews,Product_Link,Scraped_At
"Lava Bold N1 Pro (Titanium Gold, 4 GB RAM, 128 GB Storage)| Bigger 6.67"" HD+ IP54 Display | 120 Hz Refresh Rate | 50 MP AI Triple Rear Camera | 8 MP Front Camera| 5000 mAh Battery | Charger in Box",B0F1Z3QTM8,Lava,"₹6,798","₹8,339",18% off,3.9 out of 5 stars,673,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MjM0MzgzODUwNTk3NjI0OjE3NTc0MjQzMTk6c3BfYXRmOjMwMDU3ODE5NzMzMjQzMjo6MDo6&url=%2FLava-Bold-N1-Pro-Titanium%2Fdp%2FB0F1Z3QTM8%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs35oiaMG7NS5BGqK8a9Eu6aYHu8-2Lg9VVg6nsR9RQPpGFLlXqr5bBKS6YuYs02oTX_o_GeC0RjIDoXW2uGc66LylxodIS1g1AVW9DKgkDDX931hxC6i7h8KNKQq4F9WcFKlOgI3kBJEN95kc-_dmoMHyW97aHgRQkuAp2TlyXNOuDZSCV6MlxY5KHsaULQrVs1o-GvGaxNXDql1vGS-z2k.Xw7jti0zDrkELTgX42Uiy_w40Ozn3TNlIdzuoabNMbI%26dib_tag%3Dse%26keywords%3Dmobiles%26qid%3D1757424319%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=YrrilaDHJx&sp_cr=ZAZ,2025-09-09 18:55:17
Redmi 15 5G Sandy Purple 8GB + 256GB | Segment's Largest 7000mAhA Battery | Segment's Largest Display 17.53cm(6.9) Up to 144Hz | Snapdragon 6s Gen 3 | 18W Reverse Charging | 50MP AI Dual Camera,B0FJFRYXFK,Redmi,"₹16,999","₹19,999",15% off,,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MjM0MzgzODUwNTk3NjI0OjE3NTc0MjQzMTk6c3BfYXRmOjMwMDY4MDI4NzMwMjIzMjo6MDo6&url=%2FRedmi-Segments-7000mAhA-Snapdragon-Charging%2Fdp%2FB0FJFRYXFK%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs35oiaMG7NS5BGqK8a9Eu6aYHu8-2Lg9VVg6nsR9RQPpGFLlXqr5bBKS6YuYs02oTX_o_GeC0RjIDoXW2uGc66LylxodIS1g1AVW9DKgkDDX931hxC6i7h8KNKQq4F9WcFKlOgI3kBJEN95kc-_dmoMHyW97aHgRQkuAp2TlyXNOuDZSCV6MlxY5KHsaULQrVs1o-GvGaxNXDql1vGS-z2k.Xw7jti0zDrkELTgX42Uiy_w40Ozn3TNlIdzuoabNMbI%26dib_tag%3Dse%26keywords%3Dmobiles%26qid%3D1757424319%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=JCCwjTenlm&sp_cr=ZAZ,2025-09-09 18:55:17
"Samsung Galaxy M05 (Mint Green, 4GB RAM, 64 GB Storage) | 50MP Dual Camera | Bigger 6.7"" HD+ Display | 5000mAh Battery | 25W Fast Charging | 2 Gen OS Upgrade & 4 Year Security Update | Without Charger",B0DFY3XCB6,Samsung,"₹6,249","₹9,999",38% off,4.0 out of 5 stars,"6,485",https://www.amazon.in/Samsung-Storage-Display-Charging-Security/dp/B0DFY3XCB6/ref=sr_1_3?dib=eyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs35oiaMG7NS5BGqK8a9Eu6aYHu8-2Lg9VVg6nsR9RQPpGFLlXqr5bBKS6YuYs02oTX_o_GeC0RjIDoXW2uGc66LylxodIS1g1AVW9DKgkDDX931hxC6i7h8KNKQq4F9WcFKlOgI3kBJEN95kc-_dmoMHyW97aHgRQkuAp2TlyXNOuDZSCV6MlxY5KHsaULQrVs1o-GvGaxNXDql1vGS-z2k.Xw7jti0zDrkELTgX42Uiy_w40Ozn3TNlIdzuoabNMbI&dib_tag=se&keywords=mobiles&qid=1757424319&sr=8-3,2025-09-09 18:55:17
"Redmi A4 5G (Starry Black, 4GB RAM, 128GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging",B0DLW4QD72,Redmi,"₹9,299","₹11,999",23% off,3.9 out of 5 stars,"6,419",https://www.amazon.in/Redmi-A4-5G-Storage-Charging/dp/B0DLW4QD72/ref=sr_1_4?dib=eyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs35oiaMG7NS5BGqK8a9Eu6aYHu8-2Lg9VVg6nsR9RQPpGFLlXqr5bBKS6YuYs02oTX_o_GeC0RjIDoXW2uGc66LylxodIS1g1AVW9DKgkDDX931hxC6i7h8KNKQq4F9WcFKlOgI3kBJEN95kc-_dmoMHyW97aHgRQkuAp2TlyXNOuDZSCV6MlxY5KHsaULQrVs1o-GvGaxNXDql1vGS-z2k.Xw7jti0zDrkELTgX42Uiy_w40Ozn3TNlIdzuoabNMbI&dib_tag=se&keywords=mobiles&qid=1757424319&sr=8-4,2025-09-09 18:55:17
"OnePlus Nord CE4 Lite 5G (Super Silver, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | 5500 mAh Battery, 80W SUPERVOOC and Reverse Charging | 50MP Camera with OIS | 120Hz AMOLED Display",B0D5YCYS1G,OnePlus,"₹16,998","₹20,999",19% off,4.2 out of 5 stars,"9,195",https://www.amazon.in/OnePlus-Super-Silver-128GB-Storage/dp/B0D5YCYS1G/ref=sr_1_5?dib=eyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs35oiaMG7NS5BGqK8a9Eu6aYHu8-2Lg9VVg6nsR9RQPpGFLlXqr5bBKS6YuYs02oTX_o_GeC0RjIDoXW2uGc66LylxodIS1g1AVW9DKgkDDX931hxC6i7h8KNKQq4F9WcFKlOgI3kBJEN95kc-_dmoMHyW97aHgRQkuAp2TlyXNOuDZSCV6MlxY5KHsaULQrVs1o-GvGaxNXDql1vGS-z2k.Xw7jti0zDrkELTgX42Uiy_w40Ozn3TNlIdzuoabNMbI&dib_tag=se&keywords=mobiles&qid=1757424319&sr=8-5,2025-09-09 18:55:17
"Samsung Galaxy M35 5G (DayBreak Blue,8GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+| Vapour Cooling Chamber| 6000mAh Battery| 120Hz Super AMOLED Display| AI| Without Charger",B0D7Z8FJZ9,Samsung,"₹15,999","₹25,999",38% off,4.2 out of 5 stars,"13,803",https://www.amazon.in/Samsung-Daybreak-Storage-Corning-Gorilla/dp/B0D7Z8FJZ9/ref=sr_1_6?dib=eyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs35oiaMG7NS5BGqK8a9Eu6aYHu8-2Lg9VVg6nsR9RQPpGFLlXqr5bBKS6YuYs02oTX_o_GeC0RjIDoXW2uGc66LylxodIS1g1AVW9DKgkDDX931hxC6i7h8KNKQq4F9WcFKlOgI3kBJEN95kc-_dmoMHyW97aHgRQkuAp2TlyXNOuDZSCV6MlxY5KHsaULQrVs1o-GvGaxNXDql1vGS-z2k.Xw7jti0zDrkELTgX42Uiy_w40Ozn3TNlIdzuoabNMbI&dib_tag=se&keywords=mobiles&qid=1757424319&sr=8-6,2025-09-09 18:55:17
POCO M6 Plus 5G Misty Lavender 8GB RAM 128GB ROM,B0D9KJXN82,POCO,"₹10,499","₹14,499",28% off,3.9 out of 5 stars,962,https://www.amazon.in/POCO-Plus-Misty-Lavender-128GB/dp/B0D9KJXN82/ref=sr_1_7?dib=eyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs35oiaMG7NS5BGqK8a9Eu6aYHu8-2Lg9VVg6nsR9RQPpGFLlXqr5bBKS6YuYs02oTX_o_GeC0RjIDoXW2uGc66LylxodIS1g1AVW9DKgkDDX931hxC6i7h8KNKQq4F9WcFKlOgI3kBJEN95kc-_dmoMHyW97aHgRQkuAp2TlyXNOuDZSCV6MlxY5KHsaULQrVs1o-GvGaxNXDql1vGS-z2k.Xw7jti0zDrkELTgX42Uiy_w40Ozn3TNlIdzuoabNMbI&dib_tag=se&keywords=mobiles&qid=1757424319&sr=8-7,2025-09-09 18:55:17
"Redmi 13 5G Prime Edition, Hawaiian Blue, 8GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment",B0D78X544X,Redmi,"₹11,899","₹19,999",41% off,4.0 out of 5 stars,"1,794",https://www.amazon.in/Redmi-Hawaiian-Largest-Display-Segment/dp/B0D78X544X/ref=sr_1_8?dib=eyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs35oiaMG7NS5BGqK8a9Eu6aYHu8-2Lg9VVg6nsR9RQPpGFLlXqr5bBKS6YuYs02oTX_o_GeC0RjIDoXW2uGc66LylxodIS1g1AVW9DKgkDDX931hxC6i7h8KNKQq4F9WcFKlOgI3kBJEN95kc-_dmoMHyW97aHgRQkuAp2TlyXNOuDZSCV6MlxY5KHsaULQrVs1o-GvGaxNXDql1vGS-z2k.Xw7jti0zDrkELTgX42Uiy_w40Ozn3TNlIdzuoabNMbI&dib_tag=se&keywords=mobiles&qid=1757424319&sr=8-8,2025-09-09 18:55:17
"Motorola g45 5G Pantone Dahlia Purple, 8 GB,128 GB",B0FLKF5V4J,Motorola,"₹11,958","₹14,999",20% off,4.1 out of 5 stars,5,https://www.amazon.in/Motorola-g45-Pantone-Dahlia-Purple/dp/B0FLKF5V4J/ref=sr_1_9?dib=eyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs35oiaMG7NS5BGqK8a9Eu6aYHu8-2Lg9VVg6nsR9RQPpGFLlXqr5bBKS6YuYs02oTX_o_GeC0RjIDoXW2uGc66LylxodIS1g1AVW9DKgkDDX931hxC6i7h8KNKQq4F9WcFKlOgI3kBJEN95kc-_dmoMHyW97aHgRQkuAp2TlyXNOuDZSCV6MlxY5KHsaULQrVs1o-GvGaxNXDql1vGS-z2k.Xw7jti0zDrkELTgX42Uiy_w40Ozn3TNlIdzuoabNMbI&dib_tag=se&keywords=mobiles&qid=1757424319&sr=8-9,2025-09-09 18:55:17
"Samsung Galaxy M06 5G (Blazing Black, 4GB RAM, 64GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+ | 12 5G Bands | 25W Fast Charging | 4 Gen of OS Upgrades | Without Charger",B0F3X4R33R,Samsung,"₹8,499","₹12,499",32% off,3.9 out of 5 stars,"2,676",https://www.amazon.in/Samsung-MediaTek-Dimensity-Charging-Upgrades/dp/B0F3X4R33R/ref=sr_1_10?dib=eyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs35oiaMG7NS5BGqK8a9Eu6aYHu8-2Lg9VVg6nsR9RQPpGFLlXqr5bBKS6YuYs02oTX_o_GeC0RjIDoXW2uGc66LylxodIS1g1AVW9DKgkDDX931hxC6i7h8KNKQq4F9WcFKlOgI3kBJEN95kc-_dmoMHyW97aHgRQkuAp2TlyXNOuDZSCV6MlxY5KHsaULQrVs1o-GvGaxNXDql1vGS-z2k.Xw7jti0zDrkELTgX42Uiy_w40Ozn3TNlIdzuoabNMbI&dib_tag=se&keywords=mobiles&qid=1757424319&sr=8-10,2025-09-09 18:55:17
"Lava O3 (Glossy Lavender, 4 GB RAM, 64 GB Storage) | Biggest 6.75"" HD+ Display | 13MP AI Dual Rear Camera | 5000 mAh Battery | Secure Face Unlock | Fingerprint Reader | Charger & Phone-Cover in Box",B0DFH4F7Y9,Lava,"₹5,899","₹7,199",18% off,3.9 out of 5 stars,795,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MjM0MzgzODUwNTk3NjI0OjE3NTc0MjQzMTk6c3BfbXRmOjMwMDM2MjI2MjI1NzAzMjo6MDo6&url=%2FLava-Glossy-Lavender-Fingerprint-Phone-Cover%2Fdp%2FB0DFH4F7Y9%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.Zu16M0f4gcJTITvmFzGqs35oiaMG7NS5BGqK8a9Eu6aYHu8-2Lg9VVg6nsR9RQPpGFLlXqr5bBKS6YuYs02oTX_o_GeC0RjIDoXW2uGc66LylxodIS1g1AVW9DKgkDDX931hxC6i7h8KNKQq4F9WcFKlOgI3kBJEN95kc-_dmoMHyW97aHgRQkuAp2TlyXNOuDZSCV6MlxY5KHsaULQrVs1o-GvGaxNXDql1vGS-z2k.Xw7jti0zDrkELTgX42Uiy_w40Ozn3TNlIdzuoabNMbI%26dib_tag%3Dse%26keywords%3Dmobiles%26qid%3D1757424319%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=AcfjAPmtlR&sp_cr=ZAZ,2025-09-09 18:55:17
